"","Epicoccum dendrobii","Epicoccum dendrobii.1","Epicoccum thailandicum","Didymella sp.","Cladosporium delicatulum","Alternaria angustiovoidea","Neoascochyta sp.","Pseudopithomyces rosae","Gibberella intricans","Tilletiopsis washingtonensis","Epicoccum dendrobii.2","Bulleromyces albus","Coniothyrium sp.","Paraboeremia sp.","Gibberella zeae","Neoascochyta sp..1","Sporobolomyces patagonicus","Epicoccum dendrobii.3","Neosetophoma sp.","Coniothyrium sp..1","Epicoccum dendrobii.4","Epicoccum dendrobii.5","Didymella sp..1","Pseudopithomyces rosae.1","Neoascochyta desmazieri","Hannaella luteola","Albifimbria verrucaria","Septoria cretae","Epicoccum dendrobii.6","Leptospora sp.","Gibberella intricans.1","Didymellaceae","Fusarium sporotrichioides","Stagonospora sp.","Neosetophoma rosarum","Sordariomycetes","Bulleromyces albus.1","Mycosphaerella tassiana","Septoria cretae.1","Epicoccum dendrobii.7","Epicoccum dendrobii.8","Epicoccum dendrobii.9","Periconia homothallica","Microdochium paspali","Phaeosphaeria sp.","Epicoccum dendrobii.10","Didymellaceae.1","Phaeosphaeria ampeli","Epicoccum dendrobii.11","Epicoccum dendrobii.12","Neoascochyta sp..2","Epicoccum dendrobii.13","Sporobolomyces roseus","Nigrospora oryzae","Gibberella intricans.2","Epicoccum dendrobii.14","Coniothyrium sp..2","Keissleriella taminensis","Tremateia sp.","Plectosphaerella sinensis","Epicoccum dendrobii.15","Leptospora sp..1","Epicoccum dendrobii.16","Cladosporium grevilleae","Agaricomycetes","Epicoccum dendrobii.17","Epicoccum dendrobii.18","Epicoccum dendrobii.19","Epicoccum dendrobii.20","Epicoccum dendrobii.21","Colletotrichum spaethianum","Gibberella intricans.3","Peroneutypa scoparia","Epicoccum dendrobii.22","Epicoccum dendrobii.23","Neosetophoma rosigena","Papiliotrema aurea","Epicoccum dendrobii.24","Cladosporium delicatulum.1","Periconia byssoides","Epicoccum dendrobii.25","Neosetophoma rosarum.1","Epicoccum dendrobii.26","Cladosporium delicatulum.2","Leptospora sp..2","Phaeosphaeriaceae","Epicoccum dendrobii.27","Epicoccum dendrobii.28","Didymella sp..2","Hannaella zeae","Malassezia restricta","Didymellaceae.2","Nigrospora oryzae.1","Didymellaceae.3","Neoascochyta sp..3","Epicoccum dendrobii.29","Epicoccum dendrobii.30","Agaricomycetes.1","Plectosphaerella sp.","Epicoccum thailandicum.1","Epicoccum dendrobii.31","Epicoccum dendrobii.32","Epicoccum dendrobii.33","Epicoccum dendrobii.34","Epicoccum dendrobii.35","Epicoccum dendrobii.36","Epicoccum dendrobii.37","Epicoccum thailandicum.2","Epicoccum thailandicum.3","Alternaria angustiovoidea.1","Agaricomycetes.2","Epicoccum dendrobii.38","Ascomycota","Alternaria dactylidicola","Epicoccum dendrobii.39","Edenia gomezpompae","Epicoccum dendrobii.40","Epicoccum dendrobii.41","Epicoccum dendrobii.42","Didymella sp..3","Lectera longa","Epicoccum dendrobii.43","Epicoccum dendrobii.44","Didymella sp..4","Epicoccum dendrobii.45","Epicoccum dendrobii.46","Neoascochyta sp..4","Epicoccum dendrobii.47","Cladosporium delicatulum.3","Epicoccum dendrobii.48","Ophiosphaerella aquatica","Epicoccum dendrobii.49","Epicoccum dendrobii.50","Pleosporales","Didymella sp..5","Epicoccum dendrobii.51","Epicoccum dendrobii.52","Epicoccum thailandicum.4","Epicoccum dendrobii.53","Epicoccum dendrobii.54","Epicoccum dendrobii.55","Epicoccum dendrobii.56","Epicoccum thailandicum.5","Papiliotrema aurea.1","Epicoccum keratinophilum","Epicoccum dendrobii.57","Neosetophoma sp..1","Hannaella zeae.1","Pseudopithomyces rosae.2","Epicoccum dendrobii.58","Epicoccum thailandicum.6","Cladosporium delicatulum.4","Epicoccum dendrobii.59","Cladosporium delicatulum.5","Hannaella sinensis","Epicoccum dendrobii.60","Epicoccum dendrobii.61","Neoascochyta exitialis","Ophiosphaerella aquatica.1","Neohelicomyces hyalosporus","Epicoccum thailandicum.7","Epicoccum dendrobii.62","Epicoccum dendrobii.63","Epicoccum thailandicum.8","Didymella sp..6","Neosetophoma rosarum.2","Tilletiopsis washingtonensis.1","Stagonospora sp..1","Ascomycota.1","Epicoccum dendrobii.64","Epicoccum dendrobii.65","Epicoccum thailandicum.9","Diaporthe kochmanii","Didymella sp..7","Naganishia diffluens","Epicoccum dendrobii.66","Epicoccum dendrobii.67","Epicoccum dendrobii.68","Epicoccum thailandicum.10","Nigrospora oryzae.2","Didymella sp..8","Epicoccum dendrobii.69","Setophoma terrestris","Setophaeosphaeria sp.","Didymella sp..9","Clitopilus hobsonii","Sporobolomyces patagonicus.1","Epicoccum dendrobii.70","Epicoccum thailandicum.11","Epicoccum dendrobii.71","Hannaella coprosmae","Schizophyllum commune","Cladosporium delicatulum.6","Epicoccum thailandicum.12","Epicoccum thailandicum.13","Ascomycota.2","Epicoccum dendrobii.72","Edenia gomezpompae.1","Epicoccum dendrobii.73","Epicoccum dendrobii.74","Didymella sp..10","Didymella sp..11","Paraophiobolus plantaginis","Epicoccum dendrobii.75","Cladosporium delicatulum.7","Coniothyrium sp..3","Fusarium sp.","Epicoccum dendrobii.76","Cladosporium delicatulum.8","Neosetophoma rosarum.3","Neoascochyta sp..5","Plectosphaerella sinensis.1","Cladosporium delicatulum.9","Clonostachys miodochialis","Bulleromyces albus.2","Epicoccum thailandicum.14","Didymella sp..12","Neoascochyta desmazieri.1","Didymella sp..13","Paraphaeosphaeria michotii","Gibberella intricans.4","Epicoccum dendrobii.77","Epicoccum dendrobii.78","Epicoccum thailandicum.15","Thanatephorus cucumeris","Tremateia sp..1","Epicoccum thailandicum.16","Neosetophoma rosarum.4","Irpex hydnoides","Cladosporium delicatulum.10","Epicoccum dendrobii.79","Epicoccum thailandicum.17","Hannaella sinensis.1","Clonostachys miodochialis.1","Epicoccum dendrobii.80","Neosetophoma rosarum.5","Didymellaceae.4","Nigrospora oryzae.3","Clonostachys miodochialis.2","Didymella sp..14","Epicoccum thailandicum.18","Periconia sp.","Epicoccum dendrobii.81","Keissleriella caraganae","Malassezia globosa","Setoseptoria arundelensis","Cladosporium delicatulum.11","Cyphellophora sp.","Cladosporium delicatulum.12","Epicoccum dendrobii.82","Epicoccum thailandicum.19","Cladosporium delicatulum.13","Tilletiopsis washingtonensis.2","Didymellaceae.5","Didymellaceae.6","Pyrenochaetopsis leptospora","Epicoccum thailandicum.20","Fomitopsis spraguei","Neosetophoma lunariae","Epicoccum dendrobii.83","Cladosporium delicatulum.14","Lycoperdaceae","Sistotrema brinkmannii","Leptospora sp..3","Epicoccum dendrobii.84","Curvularia sp.","Epicoccum dendrobii.85","Neosetophoma rosarum.6","Peziza ostracoderma","Trametes versicolor","Clonostachys miodochialis.3","Cladosporium delicatulum.15","Epicoccum dendrobii.86","Neosetophoma sp..2","Epicoccum dendrobii.87","Epicoccum dendrobii.88","Epicoccum thailandicum.21","Epicoccum thailandicum.22","Bipolaris eleusines","Epicoccum dendrobii.89","Mycosphaerella tassiana.1","Epicoccum thailandicum.23","Neoascochyta sp..6","Didymella sp..15","Alternariaster sp.","Tremateia sp..2","Hypocreales","Neosetophoma rosarum.7","Tilletiopsis washingtonensis.3","Stagonosporopsis sp.","Epicoccum dendrobii.90","Rhodotorula babjevae","Didymella sp..16","Cladosporium delicatulum.16","Filobasidium sp.","Sarocladium zeae","Neosetophoma rosarum.8","Epicoccum thailandicum.24","Hannaella sinensis.2","Epicoccum dendrobii.91","Steccherinum bourdotii","Psathyrella saponacea","Nigrospora oryzae.4","Tricholomataceae","Epicoccum dendrobii.92","Neosetophoma rosarum.9","Epicoccum thailandicum.25","Pleosporales.1","Bullera unica","Epicoccum thailandicum.26","Epicoccum dendrobii.93","Exidia glandulosa","Papiliotrema rajasthanensis","Vishniacozyma dimennae","Neosetophoma lunariae.1","Diaporthe sp.","Epicoccum dendrobii.94","Malassezia sp.","Epicoccum dendrobii.95","Gibberella intricans.5","Ceriporia lacerata","Phaeosphaeria ampeli.1","Coprinopsis urticicola","Setophoma terrestris.1","Phaeosphaeria podocarpi","Ophiosphaerella aquatica.2","Phaeosphaeria sp..1","Neosetophoma sp..3","Coprinellus domesticus","Ophiosphaerella sp.","Neosetophoma sp..4","Neosetophoma sp..5","Filobasidium floriforme","Articulospora proliferata","Neoascochyta sp..7","Neosetophoma sp..6","Roussoella sp.","Paracylindrocarpon aloicola","Epicoccum dendrobii.96","Limonomyces roseipellis","Pleosporales.2","Neocosmospora rubicola","Stagonospora sp..2","Phaeosphaeria sp..2","Agaricomycetes.3","Ophiosphaerella sp..1","Parasola schroeteri","Paraophiobolus plantaginis.1","Cladosporium delicatulum.17","Peniophora sp.","Hansfordia pulvinata","Colletotrichum sp.","Epicoccum dendrobii.97","Phaeosphaeria ampeli.2","Hannaella oryzae","Neosetophoma sp..7","Symmetrospora sp.","Dissoconium eucalypti","Neosetophoma rosarum.10","Epicoccum dendrobii.98","Epicoccum dendrobii.99","Neosetophoma sp..8","Phaeopoacea sp.","Phaeosphaeriaceae.1","Neosetophoma rosarum.11","Epicoccum thailandicum.27","Alternariaster sp..1","Neosetophoma sp..9","Pseudopithomyces rosae.3","Neosetophoma rosarum.12","Leptospora rubella","Phaeosphaeria caricicola","Aspergillus sp.","Leptospora sp..4","Acremonium persicinum","Neosetophoma rosarum.13","Roussoella mukdahanensis","Periconia byssoides.1","Coniothyrium sp..4","Tilletiopsis washingtonensis.4","Irpex hydnoides.1","Septoriella hirta","Neosetophoma rosarum.14","Vagicola chlamydospora","Sordariomycetes.1","Epicoccum keratinophilum.1","Sordariomycetes.2","Phaeosphaeriaceae.2","Neodevriesia poagena","Tomentella sp.","Curvularia gladioli","Lectera longa.1","Microdochium paspali.1","Dioszegia sp.","Tricholomataceae.1","Tilletiaceae","Alternaria angustiovoidea.2","Keissleriella caraganae.1","Pseudopithomyces rosae.4","Diaporthe caulivora","Cyphellophora sp..1","Curvularia hawaiiensis","Paraconiothyrium fuckelii","Phaeosphaeria oryzae","Neosetophoma sp..10","Psilocybe sp.","Ceratobasidiaceae","Coniothyrium sp..5","Neosetophoma sp..11","Sporobolomyces roseus.1","Pseudoophiobolus sp.","Phaeosphaeriaceae.3","Neosetophoma rosarum.15","Gibberella zeae.1","Alternaria angustiovoidea.3","Bulleribasidium oberjochense","Agaricomycetes.4","Roussoella sp..1","Stagonospora sp..3","Stachybotryaceae","Phomatospora biseriata","Leptospora sp..5"
"24_2",194,163,0,118,244,0,33,0,0,0,0,0,14,0,0,0,56,0,23,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_3",2263,1457,1517,3377,435,0,145,320,0,159,0,69,0,0,0,180,51,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_4",4592,4324,1028,1581,1159,497,162,55,204,154,0,0,147,117,38,0,37,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_5",7099,4961,3900,3297,1982,250,752,39,269,127,0,0,17,0,1274,0,120,0,61,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"24_6",5935,0,249,420,1441,165,65,52,0,0,0,0,0,0,0,38,0,0,70,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_7",4165,4868,670,361,2025,199,468,6,0,0,0,0,0,0,175,0,0,0,156,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,496,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_8",3836,1925,837,872,430,71,0,0,16,353,0,23,47,0,255,0,0,0,42,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24_9",1678,1935,2055,896,592,82,0,0,13,28,0,64,0,123,0,0,0,0,5,0,0,0,0,42,0,157,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,34,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25_10",2169,862,1143,355,135,0,84,11,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25_11",0,0,863,390,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
